"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20240305002239I","05-MAR-24","COOKSON","OK","TENKILLER LAKE AIRPARK","","","","","","","","","","","","0","0","","","","","","1300","160","20",""
"20240306001289I","06-MAR-24","HUNTINGTON","IN","HUNTINGTON MUNI","","","","","","","","","","","","0","0","","","","","","1629","77","64",""
"20240306001339I","06-MAR-24","MORRISVILLE","NC","RALEIGH-DURHAM INTL","","","","","","","CVG AVIATION INC","","","","","0","0","","","","","","28990","","",""
"20240306001559I","06-MAR-24","TULSA","OK","RICHARD LLOYD JONES JR","","","","","","","","","","","","0","0","","","","","","3250","","",""
"20240306001609A","06-MAR-24","LOCKHART","TX","LOCKHART MUNI","","","","","","","","","","","","0","0","","","","","","8070","288","4",""
"20240306001879A","06-MAR-24","","IN","PURDUE UNIVERSITY","","","","","","","","","","","","0","0","","","","","","6239","","",""
"20240306002339I","06-MAR-24","RICHMOND HEIGHTS","OH","CUYAHOGA COUNTY","","","","","","","","","","","","0","0","","","","","","4550","","",""
"20240306003259I","06-MAR-24","HATTIESBURG","MS","SHELBY AUXILIARY FIELD ONE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240307002549A","07-MAR-24","CAVE JUNCTION","OR","ILLINOIS VALLEY","","","","","","","","","","","","1","0","","","","","","2025","","",""
"20240307002579I","07-MAR-24","MASON","MI","MASON JEWETT FIELD","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","621","26","79",""
"20240307002869A","07-MAR-24","STAFFORD","VA","STAFFORD RGNL","","","","","","","","","","","","0","0","","","","","","655","","",""
"20240307003249I","07-MAR-24","BILLINGS","MT","BILLINGS LOGAN INTL","","","","","","","","","","","","0","0","","","","","","1380","300","30",""
"20240307003439I","07-MAR-24","MONTGOMERY","AL","MONTGOMERY RGNL (DANNELLY FIELD)","","","","","","","","","","","","0","0","","","","","","3379","","",""
"20240307003449I","07-MAR-24","CULLMAN","AL","","","","","","","","","","PARACHUTE JUMPING","","","0","0","","","","","","360","","",""
"20240307006289I","07-MAR-24","","ID","SMITH PRAIRIE","","","","","","","","","","","","0","0","","","","","","4083","1743","23",""
"20240308002149A","08-MAR-24","ALLENTOWN","PA","LEHIGH VALLEY INTL","","","","","","","","","","","","0","0","","","","","","915","82","3",""
"20240308002719I","08-MAR-24","NEW BEDFORD","MA","NEW BEDFORD RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","854","","",""
"20240308002789A","08-MAR-24","GREENSBORO","NC","PIEDMONT TRIAD INTL","","","","","","","","","","","","0","0","","","","","","57","57","57",""
"20240308005709A","08-MAR-24","","CA","SHELTER COVE","","","","","","","","","","","","0","2","","","","","","710","540","10",""
"20240308015819I","08-MAR-24","LAWRENCEVILLE","GA","GWINNETT COUNTY - BRISCOE FIELD","","","","","","","","","","","","0","0","","","","","","3010","112","24",""
"20240309001689I","09-MAR-24","DALHART","TX","DALHART MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240309003489A","09-MAR-24","DEATH VALLEY","NV","FURNACE CREEK","","","","","","","","","","","","0","0","","","","","","206","103","9",""
"20240309005549I","09-MAR-24","KANSAS CITY","MO","CHARLES B. WHEELER DOWNTOWN","","","","","","","","","","","","0","0","","","","","","433","124","14",""
"20240309006019A","09-MAR-24","HOMESTEAD","FL","","","","","","","","","","","","","0","1","","","","","","288","288","4",""
"20240309006369A","09-MAR-24","CLAY","KY","","","","","","","","","","","","","0","0","","","","","","1100","175","100",""
"20240309007289I","09-MAR-24","OLATHE","KS","JOHNSON COUNTY EXECUTIVE","","","","","","","","","","","","0","0","","","","","","743","19","101",""
"20240310001549I","10-MAR-24","MATTOON","IL","COLES COUNTY MEMORIAL","","","","","","","","","","","","0","0","","","","","","1047","","",""
"20240310001639I","10-MAR-24","MISSOULA","MT","MISSOULA INTL","","","","","","","","","","","","0","0","","","","","","2614","27","110",""
"20240310002519A","10-MAR-24","SKWENTNA","AK","TALAHEIM","","","","","","","","","","","","0","0","","","","","","","","",""
"20240310002539A","10-MAR-24","MADRAS","OR","MADRAS MUNICIPAL","","","","","","","","","","","","2","0","","","","","","789","","",""
"20240310002769A","10-MAR-24","SOUTHPORT","NC","CAPE FEAR RGNL JETPORT/HOWIE FRANKLIN FLD","","","","","","","","","","","","0","1","","","","","","1003","452","9",""
"20240310002779A","10-MAR-24","CHINO","CA","CHINO","","","","","","","","","","","","0","0","","","","","","4927","180","45",""
"20240311003479I","11-MAR-24","DELANO","CA","DELANO MUNI","","","","","","","","","","","","0","0","","","","","","2600","2300","1",""
"20240311016089A","11-MAR-24","GRIFFIN","GA","GRIFFIN-SPALDING COUNTY","","","","","","","","","","","","0","0","","","","","","278","205","26",""
"20240312001839I","12-MAR-24","NASHVILLE","TN","NASHVILLE INTL","","","","","","","","","","","","0","0","","","","","","18029","","",""
"20240312001909I","12-MAR-24","DAYTONA BEACH","FL","DAYTONA BEACH INTL","","","","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240312002189A","12-MAR-24","LAPEER","MI","DUPONT-LAPEER","","","","","","","","","","","","0","1","","","","","","932","33","44",""
"20240312002399I","12-MAR-24","ORLANDO","FL","ORLANDO SANFORD INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240312002569A","12-MAR-24","FRONT ROYAL","VA","FRONT ROYAL-WARREN COUNTY","","","","","","","","","","","","0","0","","","","","","926","","",""
"20240312002749A","12-MAR-24","BILLINGS","MT","BILLINGS LOGAN INTL","","","","","","","","","","","","0","0","","","","","","10565","204","68",""
"20240312003019A","12-MAR-24","FALCON","CO","MEADOW LAKE","","","","","","","","","","","","0","0","","","","","","4269","","",""
"20240313001342I","13-MAR-24","VALKARIA","FL","VALKARIA","","","","","","","F I T AVIATION INC LLC","","PILOT SCHOOLS","","","0","0","","","","","","31","31","12",""
"20240313002029A","13-MAR-24","KNOX CITY","TX","HARRISON FIELD OF KNOX CITY","","","","","","","","","","","","0","0","","","","","","124","124","30",""
"20240313003329I","13-MAR-24","MANASSAS","VA","MANASSAS RGNL/HARRY P. DAVIS FIELD","","","","","","","","","","","","0","0","","","","","","420","","",""
"20240313004729A","13-MAR-24","PORT LAVACA","TX","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240313006669I","13-MAR-24","PRESCOTT","AZ","ERNEST A. LOVE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240314002179A","14-MAR-24","GRASS VALLEY","CA","NEVADA COUNTY AIR PARK","","","","","","","","","","","","0","1","","","","","","","","",""
"20240314002229A","14-MAR-24","FORT MEADE","FL","","","","","","","","","","","","","0","2","","","","","","2300","21","25",""
"20240314002499A","14-MAR-24","HOLLYWOOD","FL","NORTH PERRY","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","85","","",""
"20240314003669I","14-MAR-24","WALLACE","NC","HENDERSON FIELD","","","","","","","","","","","","0","0","","","","","","16250","600","15",""
"20240314003979A","14-MAR-24","HOUSTON","AK","","","","","","","","","","","","","0","0","","","","","","2047","1047","",""
"20240314004569A","14-MAR-24","CRYSTAL RIVER","FL","CRYSTAL RIVER","","","","","","","","","","","","0","0","","","","","","207","46","18",""
"20240314005879I","14-MAR-24","EVERETT","WA","SNOHOMISH COUNTY (PAINE FLD)","","","","","","","","","","","","0","0","","","","","","911","90","6",""
"20240314011669I","14-MAR-24","EMPORIA","VA","EMPORIA-GREENSVILLE RGNL","","","","","","","","","","","","0","0","","","","","","913","810","3",""
"20240315001899A","15-MAR-24","MELBOURNE","FL","MELBOURNE INTL","","","","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","","0","0","","","","","","52","52","52",""
"20240315002309A","15-MAR-24","LOGAN","WV","LOGAN COUNTY","","","","","","","","","","","","0","4","","","","","","714","565","28",""
"20240315005219A","15-MAR-24","RAWLINS","WY","RAWLINS MUNI/HARVEY FIELD","","","","","","","","","","","","0","1","","","","","","32","1","1",""
"20240315008669I","15-MAR-24","RIDGELAND","SC","RIDGELAND","","","","","","","","","","","","0","0","","","","","","336","184","1",""
"20240316002019I","16-MAR-24","PASO ROBLES","CA","PASO ROBLES MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240316002279A","16-MAR-24","FARMINGTON","CA","","","","","","","","","","","","","0","0","","","","","","809","388","3",""
"20240316002459I","16-MAR-24","RIFLE","CO","GARFIELD COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","26378","","",""
"20240316002659A","16-MAR-24","FRIEDENS","PA","SOMERSET COUNTY","","","","","","","","","","","","0","0","","","","","","2100","20","5",""
"20240316002689I","16-MAR-24","SAN JUAN","PR","","","","","","","","JETBLUE AIRWAYS","","AIR CARRIER/COMMERCIAL","","","0","1","","","","","","","","",""
"20240316002939I","16-MAR-24","REDMOND","OR","ROBERTS FIELD","","","","","","","","","","","","0","0","","","","","","151","40","4",""
"20240316003569A","16-MAR-24","ASOTIN","WA","HAWKS RUN","","","","","","","","","","","","0","1","","","","","","704","90","10",""
"20240316006459I","16-MAR-24","TULSA","OK","","","","","","","","OMNI AIR INTERNATIONAL","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240317002329I","17-MAR-24","CAMARILLO","CA","CAMARILLO","","","","","","","","","","","","0","0","","","","","","397","217","31",""
"20240317002469I","17-MAR-24","SOUTH LAKE TAHOE","CA","","","","","","","","","","","","","0","0","","","","","","981","591","64",""
"20240317002909A","17-MAR-24","ANCHORAGE","AK","MERRILL FIELD","","","","","","","","","","","","0","0","","","","","","947","38","",""
"20240317002979I","17-MAR-24","ELYRIA","OH","LORAIN COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","630","","",""
"20240317003269A","17-MAR-24","GILA BEND","AZ","GILA BEND MUNI","","","","","","","","","","","","1","0","","","","","","","","",""
"20240317014269A","17-MAR-24","BLACKSHEAR","GA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240318002069I","18-MAR-24","","IL","SOUTHERN ILLINOIS","","","","","","","","","","","","0","0","","","","","","150","150","10",""
"20240318002389A","18-MAR-24","AITKIN","MN","AITKIN MUNI-STEVE KURTZ FIELD","","","","","","","","","","","","0","1","","","","","","","","",""
"20240318002929A","18-MAR-24","BELLEVILLE","WV","","","","","","","","","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","","0","0","","","","","","4583","","",""
"20240318003679I","18-MAR-24","EUGENE","OR","MAHLON SWEET FIELD","","","","","","","","","","","","0","0","","","","","","624","","",""
"20240318005309I","18-MAR-24","TROUTDALE","OR","PORTLAND-TROUTDALE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240318005319I","18-MAR-24","PENDLETON","OR","EASTERN OREGON RGNL AT PENDLETON","","","","","","","","","","","","0","0","","","","","","","","",""
"20240318007839I","18-MAR-24","","MO","GIMLIN","","","","","","","","","","","","0","0","","","","","","15000","","",""
"20240318011109I","18-MAR-24","DENISON","TX","NORTH TEXAS RGNL/PERRIN FIELD","","","","","","","","","","","","0","0","","","","","","2889","140","95",""
"20240319002649I","19-MAR-24","PORTAGE","MI","KALAMAZOO/BATTLE CREEK INTL","","","","","","","","","","","","0","0","","","","","","1454","394","45",""
"20240319003009I","19-MAR-24","ANOKA","MN","ANOKA COUNTY-BLAINE ARPT(JANES FIELD)","","","","","","","","","","","","0","0","","","","","","362","60","60",""
"20240320002169I","20-MAR-24","ATCHISON","KS","AMELIA EARHART","","","","","","","","","","","","0","0","","","","","","1200","","",""
"20240320002639A","20-MAR-24","ROCHESTER","MN","","","","","","","","","","","","","0","3","","","","","","852","170","3",""
"20240321002529A","21-MAR-24","CHESAPEAKE","VA","HAMPTON ROADS EXECUTIVE","","","","","","","","","","","","0","0","","","","","","2398","80","22",""
"20240321003029A","21-MAR-24","COOLIDGE","AZ","COOLIDGE MUNI","","","","","","","","","","","","0","0","","","","","","11471","425","72",""
"20240322001939I","22-MAR-24","WRIGHT CITY","OK","","","","","","","","","","","","","0","0","","","","","","1049","","",""
"20240322003139I","22-MAR-24","WOODS CROSS","UT","SKYPARK","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","780","200","101",""
"20240322003469A","22-MAR-24","ACTON","CA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240322007969I","22-MAR-24","MURRIETA","CA","FRENCH VALLEY","","","","","","","","","","","","0","0","","","","","","419","136","2",""
"20240323002269I","23-MAR-24","KENOSHA","WI","KENOSHA RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240323002699I","23-MAR-24","RICHMOND","VA","","","","","","","","JETBLUE AIRWAYS","","AIR CARRIER/COMMERCIAL","","","0","1","","","","","","","","",""
"20240323003289I","23-MAR-24","SAINT PETERSBURG","FL","ALBERT WHITTED","","","","","","","","","","","","0","0","","","","","","4700","260","14",""
"20240323004829I","23-MAR-24","HINCKLEY","MN","FIELD OF DREAMS","","","","","","","","","","","","0","0","","","","","","115","5","5",""
"20240324003929I","24-MAR-24","HAYWARD","CA","HAYWARD EXECUTIVE","","","","","","","","","","","","0","0","","","","","","370","120","",""
"20240324004059A","24-MAR-24","TAVERNIER","FL","TAVERNAERO PARK","","","","","","","","","","","","0","2","","","","","","429","","",""
"20240324004142I","24-MAR-24","PUNTA GORDA","FL","PUNTA GORDA","","","","","","","","","","","","0","0","","","","","","480","170","2",""
"20240325003039A","25-MAR-24","KNOXVILLE","TN","KNOXVILLE DOWNTOWN ISLAND","","","","","","","","","","","","0","1","","","","","","947","185","25",""
"20240325003399I","25-MAR-24","GREENVILLE","MS","MID DELTA RGNL","","","","","","","","","","","","0","0","","","","","","9986","","",""
"20240325003589A","25-MAR-24","SAN SABA","TX","SAN SABA COUNTY MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240325004479I","25-MAR-24","LA VERNE","CA","BRACKETT FIELD","","","","","","","","","","","","0","0","","","","","","2160","","",""
"20240325005209A","25-MAR-24","GONZALES","TX","ROGER M. DREYER MEMORIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240325005429A","25-MAR-24","SAINT AUGUSTINE","FL","","","","","","","","","","","","","2","0","","","","","","774","","",""
"20240326004239I","26-MAR-24","LAKEPORT","CA","LAMPSON FIELD","","","","","","","","","","","","0","0","","","","","","1274","","",""
"20240326004249I","26-MAR-24","LAKEPORT","CA","LAMPSON FIELD","","","","","","","","","","","","0","0","","","","","","18500","","",""
"20240326004459A","26-MAR-24","BATON ROUGE","LA","BATON ROUGE METROPOLITAN, RYAN FIELD","","","","","","","","","","","","0","0","","","","","","219","79","",""
"20240327001869I","27-MAR-24","NEWARK","NJ","NEWARK LIBERTY INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240327002379I","27-MAR-24","ROSWELL","NM","ROSWELL INTL AIR CENTER","","","","","","","","","","","","0","0","","","","","","550","","",""
"20240327002509I","27-MAR-24","ORMOND BEACH","FL","ORMOND BEACH MUNI","","","","","","","PHOENIX EAST","","PILOT SCHOOLS","","","0","0","","","","","","671","","",""
"20240327002721A","27-MAR-24","LOS ANGELES","CA","LOS ANGELES INTL","","","","","","","AIR PACIFIC","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240327002849I","27-MAR-24","VENICE","FL","VENICE MUNI","","","","","","","","","","","","0","0","","","","","","1040","","",""
"20240327003042I","27-MAR-24","TULLAHOMA","TN","TULLAHOMA RGNL ARPT/WM NORTHERN FIELD","","","","","","","","","","","","0","0","","","","","","9264","","",""
"20240327003309I","27-MAR-24","BLYTHE","CA","","","","","","","","","","","","","0","0","","","","","","11438","49","22",""
"20240327003559I","27-MAR-24","NORTH CANTON","OH","AKRON-CANTON RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240327004049I","27-MAR-24","XENIA","OH","","","","","","","","","","","","","0","0","","","","","","97","97","",""
"20240327004379I","27-MAR-24","LAKELAND","FL","LAKELAND LINDER RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","305","","",""
"20240327005039A","27-MAR-24","","GA","","","","","","","","DELTA AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","2","","","","","","","","",""
"20240328002999I","28-MAR-24","NEW RICHMOND","WI","NEW RICHMOND RGNL","","","","","","","","","","","","0","0","","","","","","23000","","",""
